?id,opportunity_name,type,active,probability,expected_revenue,recurring_revenue,priority,date_deadline,date_open,date_closed,date_conversion,create_date,write_date,stage_name,stage_sequence,partner_name,partner_email,partner_phone,partner_mobile,partner_street,partner_city,partner_zip,partner_country,lead_contact_name,email_from,phone,mobile,street,city,zip,lead_country,assigned_user_login,assigned_user_name,sales_team,tags,lost_reason,campaign,medium,source
11,"Oportunidad - DataSync Corp / Martínez, Luis",opportunity,t,75.00,288421.79,0.0,1,2026-03-29,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,DataSync Corp,luis.martin@datasynccorp.net,+34 91 9689-9583,+52 81 6688-3050,"Calle Principal #224, Int. 26",Mérida,34321,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
12,"Oportunidad - ProSoft México / Sánchez, Verónica",opportunity,t,68.00,118068.52,0.0,0,2026-07-25,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,ProSoft México,veronica.sanche@prosoftmexic.mx,+34 91 0362-6922,+1 305 1453-1523,"Paseo de la Constitución #866, Int. 2",Tampico,84730,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
13,"Oportunidad - Eventos Corporativos SA / Sánchez, Verónica",opportunity,t,87.00,32801.27,0.0,0,2026-08-28,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Eventos Corporativos SA,veronica.sanche@eventoscorpo.com.mx,+57 1 0748-9794,+52 81 8868-3081,"Callejón Ángel García #745, Int. 5",Veracruz,35154,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
14,"Oportunidad - TechSolutions Inc / Ruiz, Pablo",opportunity,t,70.00,490956.58,0.0,1,2026-06-24,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,TechSolutions Inc,pablo.ruiz@techsolution.mx,+52 55 5517-3851,+57 1 3909-2456,"Calle Álvaro Obregón #229, Int. 39",Lima,96178,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
15,"Oportunidad - Plásticos Industriales / Lara, María",opportunity,t,17.00,154175.32,0.0,1,2026-03-13,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Plásticos Industriales,maria.lara@plasticosind.org,+34 91 7379-7135,+52 55 2276-9072,"Av. Lázaro Cárdenas #742, Int. 26",Barcelona,13001,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
16,"Oportunidad - Electrónica Avanzada / Ponce, Luis",opportunity,t,61.00,42868.96,0.0,0,2026-08-26,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Electrónica Avanzada,luis.ponce@electronicaa.com,+52 33 0464-8420,+1 305 1820-3601,"Calzada Independencia #850, Int. 39",Nueva York,26997,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
17,"Oportunidad - Recursos Humanos Plus / Soto, Carlos",opportunity,t,25.00,302241.48,0.0,0,2026-03-30,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Recursos Humanos Plus,carlos.soto@recursoshuma.com,+57 1 5248-3814,+52 33 5214-6257,"Calle Héroe de Nacozari #553, Int. 20",Acapulco,42479,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
18,"Oportunidad - Capital Partners MX / Ramos, Patricia",opportunity,t,39.00,12538.87,0.0,2,2026-05-22,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Capital Partners MX,patricia.ramos@capitalpartn.mx,+34 91 5471-6310,+52 33 5295-1943,"Av. Reforma #532, Int. 16",Hermosillo,18084,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
19,"Oportunidad - CloudBase Inc / Núñez, Daniela",opportunity,t,25.00,13890.44,0.0,1,2026-06-27,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,CloudBase Inc,daniela.nunez@cloudbaseinc.org,+34 91 6984-2112,+1 305 6047-3974,"Av. Reforma #498, Int. 12",Juárez,94232,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
20,"Oportunidad - Outsourcing Total / Romero, Daniela",opportunity,t,80.00,201378.64,0.0,0,2026-05-30,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Outsourcing Total,daniela.romero@outsourcingt.org,+1 305 4192-3588,+57 1 8528-0339,"Blvd. del Valle #124, Int. 36",Tijuana,89736,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
21,"Oportunidad - Papelería y Suministros / Cabrera, Claudia",opportunity,t,47.00,497136.52,0.0,2,2026-05-01,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Papelería y Suministros,claudia.cabrer@papeleriaysu.org,+52 55 8177-4440,+57 1 0530-7977,"Blvd. del Valle #491, Int. 1",Veracruz,73495,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
22,"Oportunidad - Seguridad Integral / Castro, Laura",opportunity,t,69.00,443791.39,0.0,0,2026-04-25,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Seguridad Integral,laura.castro@seguridadint.com.mx,+52 81 5280-0783,+52 33 3305-8529,"Calzada Independencia #89, Int. 39",Aguascalientes,77079,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
23,"Oportunidad - Publicidad Creativa / Campos, Eduardo",opportunity,t,35.00,16875.04,0.0,1,2026-06-11,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Publicidad Creativa,eduardo.campos@publicidadcr.net,+57 1 7376-1300,+34 91 4460-1870,"Av. Reforma #442, Int. 17",Culiacán,57636,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
24,"Oportunidad - Recursos Humanos Plus / Castillo, Juan",opportunity,t,10.00,481863.67,0.0,2,2026-08-13,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Recursos Humanos Plus,juan.castil@recursoshuma.org,+52 55 6400-9267,+52 33 1312-5712,"Av. Reforma #973, Int. 8",Aguascalientes,67990,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
25,"Oportunidad - Capital Partners MX / Sánchez, Valentina",opportunity,t,37.00,306034.86,0.0,1,2026-05-27,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Capital Partners MX,valentina.sanche@capitalpartn.net,+1 305 5942-6549,+57 1 8016-4176,"Blvd. del Valle #217, Int. 5",Saltillo,97579,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
26,"Oportunidad - Inmobiliaria Horizonte / Ruiz, Elena",opportunity,t,21.00,77291.62,0.0,3,2026-06-16,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Inmobiliaria Horizonte,elena.ruiz@inmobiliaria.org,+52 33 8318-7882,+34 91 8343-7748,"Calle Principal #631, Int. 16",Culiacán,91152,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
27,"Oportunidad - Grupo Empresarial Norte / Vega, Verónica",opportunity,t,59.00,238579.72,0.0,3,2026-05-03,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Grupo Empresarial Norte,veronica.vega@grupoempresa.mx,+1 305 0647-2369,+52 55 5716-8576,"Av. Reforma #300, Int. 41",Toluca,70789,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
28,"Oportunidad - Outsourcing Total / Núñez, Jorge",opportunity,t,95.00,256321.02,0.0,1,2026-06-22,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Outsourcing Total,jorge.nunez@outsourcingt.org,+52 55 8531-5303,+52 33 1757-6523,"Av. Lázaro Cárdenas #288, Int. 25",Miami,18554,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
29,"Oportunidad - FinServ Group / Jiménez, Patricia",opportunity,f,0.00,291343.0,0.0,2,2026-06-08,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,FinServ Group,patricia.jimene@finservgroup.com,+57 1 3110-7742,+57 1 5411-4620,"Calzada Independencia #503, Int. 35",Torreón,71059,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
30,"Oportunidad - TechSolutions Inc / Ramos, Roberto",opportunity,t,19.00,115526.7,0.0,3,2026-04-21,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,TechSolutions Inc,roberto.ramos@techsolution.mx,+52 55 5272-9329,+57 1 3735-1736,"Av. Lázaro Cárdenas #618, Int. 18",Saltillo,61663,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
31,"Oportunidad - Eventos Corporativos SA / Silva, Luis",opportunity,t,50.00,485047.49,0.0,2,2026-07-18,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Eventos Corporativos SA,luis.silva@eventoscorpo.net,+52 33 7566-3302,+1 305 2411-8828,"Av. Revolución #545, Int. 19",Ciudad de México,96488,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
32,"Oportunidad - Diseño & Branding Co / Castro, Carmen",opportunity,t,100.00,209704.16,0.0,3,2026-03-20,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Diseño & Branding Co,carmen.castro@disenobrandi.mx,+52 55 2170-0482,+34 91 1387-5896,"Callejón Ángel García #362, Int. 30",Culiacán,18556,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
33,"Oportunidad - Textiles Modernos / Romero, Roberto",opportunity,t,43.00,418567.91,0.0,2,2026-04-04,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Textiles Modernos,roberto.romero@textilesmode.net,+57 1 4026-3804,+34 91 5118-3835,"Calle Principal #81, Int. 25",Monterrey,92554,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
34,"Oportunidad - Innovatech Ltda. / González, Diego",opportunity,t,89.00,193791.63,0.0,3,2026-06-25,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Innovatech Ltda.,diego.gonzal@innovatechlt.com.mx,+52 81 9312-5635,+57 1 6053-0081,"Calzada Independencia #460, Int. 50",Mérida,83141,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
35,"Oportunidad - CloudBase Inc / Navarro, Roberto",opportunity,t,37.00,355333.19,0.0,0,2026-03-30,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,CloudBase Inc,roberto.navarr@cloudbaseinc.org,+52 33 4621-1881,+52 55 0061-3366,"Calle Álvaro Obregón #99, Int. 45",Acapulco,81090,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
36,"Oportunidad - Electrónica Avanzada / Vargas, Arturo",opportunity,t,51.00,467371.29,0.0,0,2026-06-08,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Electrónica Avanzada,arturo.vargas@electronicaa.org,+52 81 9843-2185,+52 81 0778-8337,"Av. Revolución #398, Int. 1",Monterrey,33334,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
37,"Oportunidad - Telecomunicaciones Unidas / Ruiz, Emmanuel",opportunity,t,34.00,290894.66,0.0,0,2026-07-28,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Telecomunicaciones Unidas,emmanuel.ruiz@telecomunica.com.mx,+52 81 2380-4719,+1 305 9163-1097,"Paseo de la Constitución #299, Int. 18",Hermosillo,39732,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
38,"Oportunidad - Grupo Empresarial Norte / Peña, Laura",opportunity,t,13.00,81304.69,0.0,1,2026-07-11,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Grupo Empresarial Norte,laura.pena@grupoempresa.mx,+52 81 8904-9707,+1 305 0509-1671,"Callejón Ángel García #169, Int. 6",Mérida,49196,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
39,"Oportunidad - Plásticos Industriales / Soto, Rebeca",opportunity,t,100.00,166590.81,0.0,0,2026-08-03,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Plásticos Industriales,rebeca.soto@plasticosind.mx,+34 91 8389-8508,+34 91 8462-2794,"Blvd. del Valle #483, Int. 32",Morelia,50167,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
40,"Oportunidad - Seguridad Integral / Ríos, Diego",opportunity,t,92.00,139408.43,0.0,1,2026-05-09,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""New""}",1,,,,,,,,,Seguridad Integral,diego.rios@seguridadint.com.mx,+52 33 9439-7498,+52 81 4328-2121,"Paseo de la Constitución #275, Int. 5",Guadalajara,26929,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
41,"Oportunidad - Seguros Confianza / Aguilar, Raúl",opportunity,t,78.00,418781.15,0.0,3,2026-08-18,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Seguros Confianza,raul.aguila@segurosconfi.net,+52 33 3438-0325,+52 33 6929-2332,"Paseo de la Constitución #469, Int. 40",Saltillo,31066,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
42,"Oportunidad - Papelería y Suministros / Pérez, Adriana",opportunity,t,63.00,483551.5,0.0,0,2026-04-18,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Papelería y Suministros,adriana.perez@papeleriaysu.org,+1 305 2380-1757,+52 33 6284-7013,"Av. Lázaro Cárdenas #319, Int. 16",Barcelona,43388,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
43,"Oportunidad - Publicidad Creativa / Ríos, Pablo",opportunity,f,0.00,338899.74,0.0,2,2026-06-07,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Proposition""}",3,,,,,,,,,Publicidad Creativa,pablo.rios@publicidadcr.com,+34 91 8471-9423,+34 91 1229-8988,"Paseo de la Constitución #617, Int. 49",León,66408,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
44,"Oportunidad - Innovatech Ltda. / Suárez, Paola",opportunity,t,100.00,477169.59,0.0,3,2026-03-19,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Innovatech Ltda.,paola.suarez@innovatechlt.mx,+34 91 7474-2715,+52 55 7528-9785,"Calle Principal #809, Int. 14",Acapulco,90756,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
45,"Oportunidad - Importadora del Sur / Blanco, Rebeca",opportunity,t,20.00,305378.8,0.0,2,2026-06-23,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Importadora del Sur,rebeca.blanco@importadorad.org,+52 33 3126-0954,+52 55 3851-7179,"Paseo de la Constitución #604, Int. 16",Nueva York,35662,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
46,"Oportunidad - Plásticos Industriales / Díaz, Miguel",opportunity,f,0.00,92303.43,0.0,0,2026-05-19,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Plásticos Industriales,miguel.diaz@plasticosind.com,+52 55 3859-6621,+57 1 4939-0059,"Paseo de la Constitución #930, Int. 38",Cancún,22209,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
47,"Oportunidad - CloudBase Inc / Romero, Marco",opportunity,t,33.00,49339.69,0.0,0,2026-03-24,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,CloudBase Inc,marco.romero@cloudbaseinc.org,+1 305 5535-8257,+52 55 8696-7408,"Callejón Ángel García #550, Int. 16",León,78382,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
48,"Oportunidad - Innovatech Ltda. / Sánchez, Ximena",opportunity,t,5.00,303668.34,0.0,3,2026-03-24,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Innovatech Ltda.,ximena.sanche@innovatechlt.org,+34 91 7514-8238,+57 1 3359-4795,"Blvd. del Valle #135, Int. 44",Caracas,72077,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
49,"Oportunidad - Seguros Confianza / Cabrera, Paola",opportunity,t,45.00,287420.23,0.0,0,2026-05-30,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Won""}",70,,,,,,,,,Seguros Confianza,paola.cabrer@segurosconfi.com.mx,+34 91 8523-0936,+52 33 7628-1253,"Calle Principal #233, Int. 37",Zapopan,49351,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
50,"Oportunidad - Distribuidora Central / Ibarra, Antonio",opportunity,t,91.00,448321.76,0.0,3,2026-07-13,2026-03-01 16:58:57.900169,,,2026-03-01 16:58:57.900169,2026-03-01 16:58:57.900169,"{""en_US"": ""Qualified""}",2,,,,,,,,,Distribuidora Central,antonio.ibarra@distribuidor.net,+57 1 7579-1217,+52 55 2843-0051,"Paseo de la Constitución #566, Int. 50",Santiago,59791,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
51,"Oportunidad - Software Factory / Lara, Alejandro",opportunity,t,76.00,89003.8,0.0,0,2026-04-06,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""Qualified""}",2,,,,,,,,,Software Factory,alejandro.lara@softwarefact.net,+1 305 9731-4949,+52 81 3444-2164,"Calle Héroe de Nacozari #90, Int. 47",Oaxaca,98032,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
52,"Oportunidad - NexGen Systems / Cruz, Héctor",opportunity,t,44.00,335518.12,0.0,0,2026-08-25,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""Qualified""}",2,,,,,,,,,NexGen Systems,hector.cruz@nexgensystem.org,+34 91 6202-2239,+52 81 0550-5475,"Blvd. del Valle #143, Int. 15",San Luis Potosí,51344,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
53,"Oportunidad - Software Factory / Martínez, Mónica",opportunity,f,0.00,341335.73,0.0,1,2026-05-05,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""Qualified""}",2,,,,,,,,,Software Factory,monica.martin@softwarefact.mx,+1 305 1484-9638,+34 91 3647-6043,"Av. Reforma #916, Int. 47",Saltillo,58737,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
54,"Oportunidad - Recursos Humanos Plus / Gutiérrez, Sergio",opportunity,t,47.00,102524.81,0.0,2,2026-07-28,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""New""}",1,,,,,,,,,Recursos Humanos Plus,sergio.gutier@recursoshuma.com.mx,+52 55 1171-9984,+52 33 1915-1013,"Blvd. del Valle #40, Int. 32",Juárez,87306,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
55,"Oportunidad - Bienes Raíces Élite / Vega, Karla",opportunity,t,64.00,13754.9,0.0,1,2026-03-11,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""Qualified""}",2,,,,,,,,,Bienes Raíces Élite,karla.vega@bienesraices.com.mx,+1 305 1565-2429,+52 81 7511-3387,"Av. Reforma #540, Int. 48",León,38613,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
56,"Oportunidad - FinServ Group / Ponce, Raúl",opportunity,t,29.00,170503.45,0.0,2,2026-05-01,2026-03-01 16:58:58.673835,,,2026-03-01 16:58:58.673835,2026-03-01 16:58:58.673835,"{""en_US"": ""Qualified""}",2,,,,,,,,,FinServ Group,raul.ponce@finservgroup.net,+52 81 8492-7148,+34 91 4311-4688,"Blvd. del Valle #14, Int. 16",León,25853,,admin,Administrator,"{""en_US"": ""Sales""}",,,,,
